Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
Gyro Ball,Steel,Physical,—,100,5,"The slower the user, the stronger the attack.","The user tackles the target with a high-speed spin. The slower the user is than the target, the greater the move’s power."
Hail,Ice,Status,—,—,10,Non-Ice types are damaged for 5 turns.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Hammer Arm,Fighting,Physical,100,90,10,Lowers user's Speed.,"The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat."
Happy Hour,Normal,Status,—,—,30,Doubles prize money from trainer battles.,Using Happy Hour doubles the amount of prize money received after battle.
Hard Press,Steel,Physical,—,100,10,,TM225
Harden,Normal,Status,—,—,30,Raises user's Defense.,The user stiffens all the muscles in its body to boost its Defense stat.
Haze,Ice,Status,—,—,30,Resets all stat changes.,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
Head Charge,Normal,Physical,120,100,15,User receives recoil damage.,"The user charges its head into the target, using its powerful guard hair. This also damages the user a little."
Head Smash,Rock,Physical,150,80,5,User receives recoil damage.,The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly.
Headbutt,Normal,Physical,70,100,15,May cause flinching.,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
Headlong Rush,Ground,Physical,120,100,5,Lowers user's Defense.,The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats.
Heal Bell,Normal,Status,—,—,5,Heals the user's party's status conditions.,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.
Heal Block,Psychic,Status,—,100,15,Prevents the opponent from restoring HP for 5 turns.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Heal Order,Bug,Status,—,—,10,User recovers half its max HP.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Heal Pulse,Psychic,Status,—,—,10,Restores half the target's max HP.,The user emits a healing pulse that restores the target’s HP by up to half its max HP.
Healing Wish,Psychic,Status,—,—,10,The user faints and the next Pokémon released is fully healed.,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured."
Heart Stamp,Psychic,Physical,60,100,25,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Heart Swap,Psychic,Status,—,—,10,Stat changes are swapped with the opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Heat Crash,Fire,Physical,—,100,10,"The heavier the user, the stronger the attack.","The user slams into the target with its flame-covered body. The more the user outweighs the target, the greater the move’s power."
Heat Wave,Fire,Special,95,90,10,May burn opponent.,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn.
Heavy Slam,Steel,Physical,—,100,10,"The heavier the user, the stronger the attack.","The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move’s power."
Helping Hand,Normal,Status,—,—,20,"In Double Battles, boosts the power of the partner's move.",The user assists an ally by boosting the power of that ally’s attack.
Hex,Ghost,Special,65,100,10,Inflicts more damage if the target has a status condition.,This relentless attack does massive damage to a target affected by status conditions.
Hidden Power,Normal,Special,60,100,15,Type and power depends on user's IVs.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
High Horsepower,Ground,Physical,95,95,10,The user fiercely attacks the target using its entire body.,The user fiercely attacks the target using its entire body.
High Jump Kick,Fighting,Physical,130,90,10,"If it misses, the user loses half their HP.","The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead."
Hold Back,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,"The user holds back when it attacks, and the target is left with at least 1 HP."
Hold Hands,Normal,Status,—,—,40,Makes the user and an ally very happy.,The user and an ally hold hands. This makes them very happy.
Hone Claws,Dark,Status,—,—,15,Raises user's Attack and Accuracy.,The user sharpens its claws to boost its Attack stat and accuracy.
Horn Attack,Normal,Physical,65,100,25,,The target is jabbed with a sharply pointed horn to inflict damage.
Horn Drill,Normal,Physical,—,30,5,"One-Hit-KO, if it hits.",The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
Horn Leech,Grass,Physical,75,100,10,User recovers half the HP inflicted on opponent.,The user drains the target’s energy with its horns. The user’s HP is restored by up to half the damage taken by the target.
Howl,Normal,Status,—,—,40,Raises Attack of allies.,The user howls loudly to rouse itself and its allies. This boosts their Attack stats.
Hurricane,Flying,Special,110,70,10,May confuse opponent.,The user attacks by wrapping the target in a fierce wind. This may also confuse the target.
Hydro Cannon,Water,Special,150,90,5,User must recharge next turn.,The target is hit with a watery blast. The user can’t move on the next turn.
Hydro Pump,Water,Special,110,80,5,,The target is blasted by a huge volume of water launched under great pressure.
Hydro Steam,Water,Special,80,100,15,Power increases in harsh sunlight.,"Hydro Steam deals damage, and its power is boosted by 50% in harsh sunlight, instead of being reduced."
Hydro Vortex,Water,None,—,—,1,Water type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Hyper Beam,Normal,Special,150,90,5,User must recharge next turn.,The target is attacked with a powerful beam. The user can’t move on the next turn.
Hyper Drill,Normal,Physical,100,100,5,Can strike through Protect/Detect.,The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.
Hyper Fang,Normal,Physical,80,90,15,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Hyper Voice,Normal,Special,90,100,10,,"The user attacks by letting loose a horribly loud, resounding cry."
Hyperspace Fury,Dark,Physical,100,∞,5,Lowers user's Defense. Can strike through Protect/Detect.,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user’s Defense stat."
Hyperspace Hole,Psychic,Special,80,∞,5,Can strike through Protect/Detect.,"Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect."
Hypnosis,Psychic,Status,—,60,20,Puts opponent to sleep.,The user employs hypnotic suggestion to make the target fall asleep.
Ice Ball,Ice,Physical,30,90,20,Doubles in power each turn for 5 turns.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Ice Beam,Ice,Special,90,100,10,May freeze opponent.,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
Ice Burn,Ice,Special,140,90,5,"Charges on first turn, attacks on second. May burn opponent.","The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn."
Ice Fang,Ice,Physical,65,95,15,May cause flinching and/or freeze opponent.,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.
Ice Hammer,Ice,Physical,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.","The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user’s Speed stat."
Ice Punch,Ice,Physical,75,100,15,May freeze opponent.,The target is attacked with an icy punch. This may also leave the target frozen.
Ice Shard,Ice,Physical,40,100,30,User attacks first.,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.
Ice Spinner,Ice,Physical,80,100,15,Removes effects of Terrain.,"The user covers its feet in thin ice and twirls around, slamming into the target. This move’s spinning motion also destroys the terrain."
Icicle Crash,Ice,Physical,85,90,10,May cause flinching.,The user attacks by crashing large icicles onto the target. This may also make the target flinch.
Icicle Spear,Ice,Physical,25,100,30,Hits 2-5 times in one turn.,The user attacks by launching sharp icicles at the target. This move hits two to five times in a row.
Icy Wind,Ice,Special,55,95,15,Lowers opponent's Speed.,The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.
Imprison,Psychic,Status,—,—,10,Opponent is unable to use moves that the user also knows.,"If opposing Pokémon know any move also known by the user, they are prevented from using it."
Incinerate,Fire,Special,60,100,15,Destroys the target's held berry.,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable."
Infernal Parade,Ghost,Special,60,100,15,Inflicts double damage if the target has a status condition.,The user attacks with myriad fireballs. This may also leave the target with a burn. This move’s power is doubled if the target has a status condition.
Inferno,Fire,Special,100,50,5,Burns opponent.,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.
Inferno Overdrive,Fire,None,—,—,1,Fire type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Infestation,Bug,Special,20,100,20,"Traps opponent, damaging them for 4-5 turns.",The target is infested and attacked for four to five turns. The target can’t flee during this time.
Ingrain,Grass,Status,—,—,20,User restores HP each turn. User cannot escape/switch.,"The user lays roots that restore its own HP every turn. Because the user is now rooted, it can’t switch out."
Instruct,Psychic,Status,—,—,15,Allows an ally to use a move instead.,The user instructs the target to reuse the move last used by the target.
Ion Deluge,Electric,Status,—,—,25,Changes Normal-type moves to Electric-type.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Iron Defense,Steel,Status,—,—,15,Sharply raises user's Defense.,"The user hardens its body’s surface like iron, sharply boosting its Defense stat."
Iron Head,Steel,Physical,80,100,15,May cause flinching.,The user slams the target with its steel-hard head. This may also make the target flinch.
Iron Tail,Steel,Physical,100,75,15,May lower opponent's Defense.,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.
Ivy Cudgel,Grass,Physical,100,—,—,High critical hit ratio. Type changes based on form.,Ivy Cudgel deals damage and has an increased critical hit ratio (1⁄8 instead of 1⁄24). Its type changes based on the mask worn by Ogerpon:
Jaw Lock,Dark,Physical,80,100,10,Prevents user and opponent from switching out.,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.
Jet Punch,Water,Physical,60,100,15,Always goes first.,The user summons a torrent around its fist and punches at blinding speed. This move always goes first.
Judgment,Normal,Special,100,100,10,Type depends on the Arceus Plate being held.,The user releases countless shots of light at the target. This move’s type changes depending on the kind of plate held by the user.
Jump Kick,Fighting,Physical,100,95,10,"If it misses, the user loses half their HP.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Jungle Healing,Grass,Status,—,—,10,Restores team's HP and cures status conditions.,"The user becomes one with the jungle, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle."
Karate Chop,Fighting,Physical,50,100,25,High critical hit ratio.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Kinesis,Psychic,Status,—,80,15,Lowers opponent's Accuracy.,The user distracts the target by bending a spoon. This lowers the target’s accuracy.
King's Shield,Steel,Status,—,—,10,Protects the user and lowers opponent's Attack on contact.,The user takes a defensive stance while it protects itself from damage. This also lowers the Attack stat of any attacker that makes direct contact.
Knock Off,Dark,Physical,65,100,20,Removes opponent's held item for the rest of the battle.,"The user slaps down the target’s held item, making it unusable for that battle. This move does more damage if the target has a held item."
Kowtow Cleave,Dark,Physical,85,∞,10,Always hits.,The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses.
Land's Wrath,Ground,Physical,90,100,10,,The user gathers the energy of the land and focuses that power on opposing Pokémon to inflict damage.
Laser Focus,Normal,Status,—,—,30,User's next attack is guaranteed to result in a critical hit.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Lash Out,Dark,Physical,75,100,5,Double power if stats were lowered during the turn.,The user lashes out to vent its frustration toward the target. This move’s power is doubled if the user’s stats were lowered during this turn.
Last Resort,Normal,Physical,140,100,5,Can only be used after all other moves are used.,This move can be used only after the user has used all the other moves it knows in the battle.
Last Respects,Ghost,Physical,50,100,10,Damages increases the more party Pokémon have been defeated.,"The user attacks to avenge its allies. The more defeated allies there are in the user’s party, the greater the move’s power."
Lava Plume,Fire,Special,80,100,15,May burn opponent.,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
Leaf Blade,Grass,Physical,90,100,15,High critical hit ratio.,The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit.
Leaf Storm,Grass,Special,130,90,5,Sharply lowers user's Special Attack.,The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.
Leaf Tornado,Grass,Special,65,90,10,May lower opponent's Accuracy.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Leafage,Grass,Physical,40,100,40,Strikes opponent with leaves.,The user attacks by pelting the target with leaves.
Leech Life,Bug,Physical,80,100,10,User recovers half the HP inflicted on opponent.,The user drains the target’s blood. The user’s HP is restored by up to half the damage taken by the target.
Leech Seed,Grass,Status,—,90,10,Drains HP from opponent each turn.,A seed is planted on the target. It steals some HP from the target every turn.
Leer,Normal,Status,—,100,30,Lowers opponent's Defense.,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.
Let's Snuggle Forever,Fairy,Physical,190,—,1,Mimikyu-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Lick,Ghost,Physical,30,100,30,May paralyze opponent.,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.
Life Dew,Water,Status,—,—,10,User and teammates recover HP.,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle.
Light of Ruin,Fairy,Special,140,90,5,User receives recoil damage.,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user terribly."
Light Screen,Psychic,Status,—,—,30,Halves damage from Special attacks for 5 turns.,A wondrous wall of light is put up to reduce damage from special moves for five turns.
Light That Burns the Sky,Psychic,Special,200,—,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Liquidation,Water,Physical,85,100,10,May lower opponent's Defense.,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.
Lock-On,Normal,Status,—,—,5,User's next attack is guaranteed to hit.,The user takes sure aim at the target. This ensures the user’s next move does not miss that target.
Lovely Kiss,Normal,Status,—,75,10,Puts opponent to sleep.,"With a scary face, the user tries to kiss the target. If it succeeds, the target falls asleep."
Low Kick,Fighting,Physical,—,100,20,"The heavier the opponent, the stronger the attack.","A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power."
Low Sweep,Fighting,Physical,65,100,20,Lowers opponent's Speed.,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat."
Lucky Chant,Normal,Status,—,—,30,Opponent cannot land critical hits for 5 turns.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Lumina Crash,Psychic,Special,80,100,10,Harshly lowers target’s Special Defense.,The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target’s Sp. Def stat.
Lunar Blessing,Psychic,Status,—,—,5,Heals user's status conditions and recovers HP.,"The user receives a blessing from the crescent moon, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle."
Lunar Dance,Psychic,Status,—,—,10,The user faints but the next Pokémon released is fully healed.,"The user faints. In return, the Pokémon taking its place will have its HP and PP restored and its status conditions cured."
Lunge,Bug,Physical,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.","The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat."
Luster Purge,Psychic,Special,95,100,5,May lower opponent's Special Defense.,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.
Mach Punch,Fighting,Physical,40,100,30,User attacks first.,The user throws a punch at blinding speed. This move always goes first.
Magic Coat,Psychic,Status,—,—,15,Reflects moves that cause status conditions back to the attacker.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Magic Powder,Psychic,Status,—,100,20,Changes target's type to Psychic.,The user scatters a cloud of magic powder that changes the target’s type to Psychic.
Magic Room,Psychic,Status,—,—,10,Suppresses the effects of held items for five turns.,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.
Magical Leaf,Grass,Special,60,∞,20,Ignores Accuracy and Evasiveness.,The user scatters curious leaves that chase the target. This attack never misses.
Magical Torque,Fairy,Physical,100,100,10,May confuse the opponent.,Magical Torque deals damage and has a 30% chance of confusing the target.
Magma Storm,Fire,Special,100,75,5,"Traps opponent, damaging them for 4-5 turns.",The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.
Magnet Bomb,Steel,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Magnet Rise,Electric,Status,—,—,10,User becomes immune to Ground-type moves for 5 turns.,The user levitates using electrically generated magnetism for five turns.
Magnetic Flux,Electric,Status,—,—,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,"The user manipulates magnetic fields, which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability."
Magnitude,Ground,Physical,—,100,30,Hits with random power.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Make It Rain,Steel,Special,120,100,5,Lowers user's Special Attack. Money is earned after the battle.,The user attacks by throwing out a mass of coins. This also lowers the user’s Sp. Atk stat. Money is earned after the battle.
Malicious Moonsault,Dark,Physical,180,—,1,Incineroar-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Malignant Chain,Poison,Special,100,100,5,May poison the opponent.,"The user pours toxins into the target by wrapping them in a toxic, corrosive chain. This may also leave the target badly poisoned."
Mat Block,Fighting,Status,—,—,10,Protects teammates from damaging moves.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Matcha Gotcha,Grass,Special,80,90,15,"Deals damage, restores HP, may burn opponent.",The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.
Max Airstream,Flying,None,—,—,—,Flying type Dynamax move. Raises the team's Speed.,This is a Flying-type attack Dynamax Pokémon use. This boosts ally Pokémon’s Speed stats.
Max Darkness,Dark,None,—,—,—,Dark type Dynamax move. Lowers the target's Special Defense.,This is a Dark-type attack Dynamax Pokémon use. This lowers the target’s Sp. Def stat.
Max Flare,Fire,None,—,—,—,Fire type Dynamax move. Summons harsh sunlight.,This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns.
Max Flutterby,Bug,None,—,—,—,Bug type Dynamax move. Lowers the target's Special Attack.,This is a Bug-type attack Dynamax Pokémon use. This lowers the target’s Sp. Atk stat.
Max Geyser,Water,None,—,—,—,Water type Dynamax move. Summons heavy rain.,This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns.
Max Guard,Normal,None,—,—,—,Status category Dynamax move. Protects the user.,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
Max Hailstorm,Ice,None,—,—,—,Ice type Dynamax move. Summons hail.,This is an Ice-type attack Dynamax Pokémon use. The user summons a snowstorm lasting five turns.
Max Knuckle,Fighting,None,—,—,—,Fighting type Dynamax move. Increases the team's Attack.,This is a Fighting-type attack Dynamax Pokémon use. This boosts ally Pokémon’s Attack stats.
Max Lightning,Electric,None,—,—,—,Electric type Dynamax move. Summons Electric Terrain.,This is an Electric-type attack Dynamax Pokémon use. The user turns the ground into Electric Terrain for five turns.
Max Mindstorm,Psychic,None,—,—,—,Psychic type Dynamax move. Summons Psychic Terrain.,This is a Psychic-type attack Dynamax Pokémon use. The user turns the ground into Psychic Terrain for five turns.
Max Ooze,Poison,None,—,—,—,Poison type Dynamax move. Increases the team's Special Attack.,This is a Poison-type attack Dynamax Pokémon use. This boosts ally Pokémon’s Sp. Atk stats.
Max Overgrowth,Grass,None,—,—,—,Grass type Dynamax move. Summons Grassy Terrain.,This is a Grass-type attack Dynamax Pokémon use. The user turns the ground into Grassy Terrain for five turns.
Max Phantasm,Ghost,None,—,—,—,Ghost type Dynamax move. Lowers the target's Defense.,This is a Ghost-type attack Dynamax Pokémon use. This lowers the target’s Defense stat.
Max Quake,Ground,None,—,—,—,Ground type Dynamax move. Increases the team's Special Defense.,This is a Ground-type attack Dynamax Pokémon use. This boosts ally Pokémon’s Sp. Def stats.
Max Rockfall,Rock,None,—,—,—,Rock type Dynamax move. Summons a sandstorm.,This is a Rock-type attack Dynamax Pokémon use. The user summons a sandstorm lasting five turns.
Max Starfall,Fairy,None,—,—,—,Fairy type Dynamax move. Summons Misty Terrain.,This is a Fairy-type attack Dynamax Pokémon use. The user turns the ground into Misty Terrain for five turns.
Max Steelspike,Steel,None,—,—,—,Steel type Dynamax move. Raises the team's Defense.,This is a Steel-type attack Dynamax Pokémon use. This boosts ally Pokémon’s Defense stats.
Max Strike,Normal,None,—,—,—,Normal type Dynamax move. Lowers the target's Speed.,This is a Normal-type attack Dynamax Pokémon use. This lowers the target’s Speed stat.
Max Wyrmwind,Dragon,None,—,—,—,Dragon type Dynamax move. Lowers the target's Attack.,This is a Dragon-type attack Dynamax Pokémon use. This lowers the target’s Attack stat.
Me First,Normal,Status,—,—,20,User copies the opponent's attack with 1.5× power.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mean Look,Normal,Status,—,—,5,Opponent cannot flee or switch.,"The user pins the target with a dark, arresting look. The target becomes unable to flee."
Meditate,Psychic,Status,—,—,40,Raises user's Attack.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mega Drain,Grass,Special,40,100,15,User recovers half the HP inflicted on opponent.,A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.
Mega Kick,Normal,Physical,120,75,5,,The target is attacked by a kick launched with muscle-packed power.
Mega Punch,Normal,Physical,80,85,20,,The target is slugged by a punch thrown with muscle-packed power.
Megahorn,Bug,Physical,120,85,10,,"Using its tough and impressive horn, the user rams into the target with no letup."
Memento,Dark,Status,—,100,10,"User faints, sharply lowers opponent's Attack and Special Attack.","The user faints. In return, the target’s Attack and Sp. Atk stats are harshly lowered."
Menacing Moonraze Maelstrom,Ghost,Special,200,—,1,Lunala-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Metal Burst,Steel,Physical,—,100,10,Deals damage equal to 1.5x opponent's attack.,The user retaliates with much greater force against the opponent that last inflicted damage on it.
Metal Claw,Steel,Physical,50,95,35,May raise user's Attack.,The target is raked with steel claws. This may also boost the user’s Attack stat.
Metal Sound,Steel,Status,—,85,40,Sharply lowers opponent's Special Defense.,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.
Meteor Assault,Fighting,Physical,150,100,5,User must recharge next turn.,"The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger."
Meteor Beam,Rock,Special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.","The user gathers energy from space and boosts its Sp. Atk stat on the first turn, then attacks on the next turn."
Meteor Mash,Steel,Physical,90,90,10,May raise user's Attack.,The target is hit with a hard punch fired like a meteor. This may also boost the user’s Attack stat.
Metronome,Normal,Status,—,—,10,User performs almost any move in the game at random.,The user waggles a finger and stimulates its brain into randomly using nearly any move.
Mighty Cleave,Rock,Physical,95,100,5,,The user wields the light that has accumulated atop its head to cleave the target. This move hits even if the target protects itself.
Milk Drink,Normal,Status,—,—,5,User recovers half its max HP.,The user restores its own HP by up to half its max HP.
Mimic,Normal,Status,—,—,10,Copies the opponent's last move.,The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle.
Mind Blown,Fire,Special,150,100,5,User receives recoil damage.,The user attacks everything around it by causing its own head to explode. This also damages the user.
Mind Reader,Normal,Status,—,—,5,User's next attack is guaranteed to hit.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Minimize,Normal,Status,—,—,10,Sharply raises user's Evasiveness.,"The user compresses its body to make itself look smaller, which sharply boosts its evasiveness."
Miracle Eye,Psychic,Status,—,—,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mirror Coat,Psychic,Special,—,100,20,"When hit by a Special Attack, user strikes back with 2x power.","A retaliatory attack that counters any special move, inflicting double the damage taken."
Mirror Move,Flying,Status,—,—,20,User performs the opponent's last move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mirror Shot,Steel,Special,65,85,10,May lower opponent's Accuracy.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mist,Ice,Status,—,—,30,User's stats cannot be changed for a period of time.,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
Mist Ball,Psychic,Special,95,100,5,May lower opponent's Special Attack.,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.
Misty Explosion,Fairy,Special,100,100,5,Power increases on Misty Terrain.,The user attacks everything around it and faints upon using this move. This move’s power is boosted on Misty Terrain.
Misty Terrain,Fairy,Status,—,—,10,Protects the field from status conditions for 5 turns.,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.
Moonblast,Fairy,Special,95,100,15,May lower opponent's Special Attack.,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat."
Moongeist Beam,Ghost,Special,100,100,5,Ignores the target's ability.,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability.
Moonlight,Fairy,Status,—,—,5,User recovers HP. Amount varies with the weather.,The user restores its own HP. The amount of HP regained varies with the weather.
Morning Sun,Normal,Status,—,—,5,User recovers HP. Amount varies with the weather.,The user restores its own HP. The amount of HP regained varies with the weather.
Mortal Spin,Poison,Physical,30,100,15,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.","The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also poisons opposing Pokémon."
Mountain Gale,Ice,Physical,100,85,10,Lowers user's Speed.,The user hurls giant chunks of ice at the target to inflict damage. This may also make the target flinch.
Mud Bomb,Ground,Special,65,85,10,May lower opponent's Accuracy.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mud Shot,Ground,Special,55,95,15,Lowers opponent's Speed.,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.
Mud Sport,Ground,Status,—,—,15,Weakens the power of Electric-type moves.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mud-Slap,Ground,Special,20,100,10,Lowers opponent's Accuracy.,The user hurls mud in the target’s face to inflict damage and lower its accuracy.
Muddy Water,Water,Special,90,85,10,May lower opponent's Accuracy.,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.
Multi-Attack,Normal,Physical,120,100,10,Type matches Memory item held.,"Cloaking itself in powerful energy, the user slams into the target to inflict damage. This move’s type changes depending on the kind of memory disc held by the user."
Mystical Fire,Fire,Special,75,100,10,Lowers opponent's Special Attack.,"The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat."
Mystical Power,Psychic,Special,70,90,10,Raises user's Special Attack.,The user attacks by emitting a mysterious power. This also boosts the user’s Sp. Atk stat.
Nasty Plot,Dark,Status,—,—,20,Sharply raises user's Special Attack.,The user stimulates its brain by thinking bad thoughts. This sharply boosts the user’s Sp. Atk stat.
Natural Gift,Normal,Physical,—,100,15,Power and type depend on the user's held berry.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Nature Power,Normal,Status,—,—,20,Uses a certain move based on the current terrain.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Nature's Madness,Fairy,Special,—,90,10,Halves the foe's HP.,The user hits the target with the full wrath of nature. This cuts the target’s HP in half.
Needle Arm,Grass,Physical,60,100,15,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
